CustomerID,Recency,Frequency,Monetary,RFM_Baseline_Group,KMeans_k2,KMeans_k3,Hierarchical_k2,GMM_k2,GMM_k8_Diagnostic
12431,27,11,4732.07,3,1,0,0,0,5
12432,80,2,3316.6600000000003,2,1,2,0,1,6
12433,274,2,3787.12,1,0,1,1,1,6
12434,168,1,286.25,0,0,1,1,1,3
12435,175,1,3978.9900000000002,1,0,1,1,1,0
12436,7,1,429.01000000000005,2,0,2,0,0,0
12437,6,11,2505.41,3,1,0,0,0,2
12438,48,1,770.0699999999999,2,0,2,0,0,0
12441,274,1,155.55,0,0,1,1,1,3
12444,29,2,2347.27,2,1,2,0,0,6
12447,151,1,431.49,1,0,1,1,1,0
12449,37,2,1456.88,2,1,2,0,0,6
12450,64,2,197.88,1,0,2,1,1,6
12451,126,2,5307.82,2,1,0,0,1,6
12453,42,1,707.09,1,0,2,0,0,0
12455,35,4,2077.36,3,1,0,0,0,7
12456,39,2,1825.4,2,1,2,0,0,6
12457,141,3,907.25,2,0,2,1,1,4
12458,192,1,361.92,0,0,1,1,1,3
12461,62,1,626.88,1,0,2,0,0,0
12462,211,1,594.11,0,0,1,1,1,3
12463,83,3,877.79,2,1,2,0,0,4
12464,14,6,615.55,3,1,0,0,0,5
12465,77,1,410.94,1,0,2,1,1,0
12468,95,2,657.54,1,0,2,0,1,6
12471,15,18,9695.0,3,1,0,0,0,2
12472,46,5,4549.6,3,1,0,0,0,5
12473,22,2,1013.75,2,1,2,0,0,6
12474,6,13,3984.06,3,1,0,0,0,2
12476,49,6,2687.67,3,1,0,0,0,5
12477,8,3,8834.03,3,1,0,0,0,4
12480,51,3,1892.95,2,1,0,0,0,4
12481,87,8,3671.2599999999998,3,1,0,0,0,1
12483,6,6,1290.06,3,1,0,0,0,5
12484,11,3,3210.65,3,1,0,0,0,4
12489,244,1,298.93,0,0,1,1,1,3
12490,1,6,3210.59,3,1,0,0,0,5
12492,13,1,108.39000000000001,1,0,2,1,1,0
12493,73,2,379.74,1,0,2,1,0,6
12494,69,5,760.86,2,1,0,0,0,1
12500,14,6,1647.8400000000001,3,1,0,0,0,5
12501,244,1,2025.39,1,0,1,1,1,3
12502,3,5,2995.87,3,1,0,0,0,5
12506,140,1,73.5,0,0,1,1,1,0
12507,42,3,1052.81,2,1,2,0,0,4
12509,192,1,158.5,0,0,1,1,1,3
12510,50,2,814.5699999999999,2,1,2,0,0,6
12513,20,1,558.29,1,0,2,0,0,0
12514,175,1,1017.68,1,0,1,1,1,0
12515,261,1,278.7,0,0,1,1,1,3
12516,88,1,529.2,1,0,2,1,1,0
12517,34,2,1431.45,2,1,2,0,0,6
12518,18,1,288.83,1,0,2,1,0,0
12520,50,4,1829.85,3,1,0,0,0,7
12521,50,1,545.68,1,0,2,0,0,0
12523,15,7,927.75,3,1,0,0,0,5
12524,70,6,2744.48,3,1,0,0,0,1
12526,2,1,484.3,2,0,2,0,0,0
12527,202,2,266.92,0,0,1,1,1,6
12528,22,4,1089.3700000000001,2,1,0,0,0,7
12530,31,3,1095.65,2,1,2,0,0,4
12534,38,1,981.18,2,0,2,0,0,0
12535,94,1,371.45,1,0,2,1,1,0
12539,170,3,4517.69,2,1,0,1,1,4
12540,0,11,7874.86,3,1,0,0,0,2
12541,81,2,480.14,1,0,2,0,1,6
12545,167,1,544.15,1,0,1,1,1,3
12547,105,2,151.79999999999998,0,0,2,1,1,6
12548,74,1,67.19999999999999,0,0,2,1,1,0
12551,265,1,168.0,0,0,1,1,1,3
12553,18,7,2113.59,3,1,0,0,0,5
12556,59,1,308.75,1,0,2,1,1,0
12557,66,4,9000.960000000001,2,1,0,0,0,7
12559,218,2,525.71,1,0,1,1,1,6
12560,51,1,1292.31,1,0,2,0,1,0
12561,210,1,238.85,0,0,1,1,1,3
12562,34,3,1443.23,2,1,2,0,0,4
12564,169,1,402.9,1,0,1,1,1,3
12565,196,1,145.92,0,0,1,1,1,3
12567,4,9,7165.98,3,1,0,0,0,2
12569,0,15,1645.68,3,1,0,0,0,2
12571,29,1,248.35,1,0,2,1,1,0
12573,135,1,160.54000000000002,0,0,1,1,1,0
12574,223,1,182.45000000000002,0,0,1,1,1,3
12576,3,4,936.55,3,1,0,0,0,7
12577,267,1,195.89,0,0,1,1,1,3
12578,238,1,1412.66,1,0,1,1,1,3
12580,154,1,379.7,0,0,1,1,1,0
12582,146,2,351.36,1,0,1,1,1,6
12583,14,9,3908.21,3,1,0,0,0,5
12584,35,4,698.59,2,1,2,0,0,7
12585,142,2,1824.1,2,0,2,1,1,6
12589,52,1,113.5,0,0,2,1,1,0
12590,119,1,9341.26,1,1,2,0,1,0
12591,225,1,368.85,0,0,1,1,1,3
12592,0,2,401.6,2,1,2,0,0,6
12593,16,3,382.09999999999997,2,1,2,0,0,4
12594,29,7,2399.9,3,1,0,0,0,5
12596,150,1,213.95,0,0,1,1,1,0
12597,91,2,1120.81,2,0,2,0,1,6
12598,69,3,1422.3799999999999,2,1,2,0,0,4
12599,34,6,731.04,2,1,0,0,0,5
12600,20,8,1720.5600000000002,3,1,0,0,0,5
12601,97,5,487.06,2,1,2,0,0,1
12604,169,1,160.5,0,0,1,1,1,3
12609,94,2,674.73,1,0,2,0,1,6
12610,14,2,1104.25,2,1,2,0,0,6
12613,105,3,1336.52,2,1,2,0,0,4
12614,185,1,315.6,0,0,1,1,1,3
12615,76,1,580.74,1,0,2,1,1,0
12616,3,2,641.3,2,1,2,0,0,6
12619,24,5,1925.46,3,1,0,0,0,5
12620,112,1,561.66,1,0,2,1,1,0
12621,8,15,9223.04,3,1,0,0,0,2
12622,140,1,162.1,0,0,1,1,1,0
12623,184,1,269.1,0,0,1,1,1,3
12624,14,2,569.13,2,1,2,0,0,6
12625,119,2,2413.82,2,1,2,0,1,6
12626,20,6,4288.0,3,1,0,0,0,5
12627,4,4,2493.83,3,1,0,0,0,7
12633,37,3,1732.75,3,1,0,0,0,4
12635,62,1,629.64,1,0,2,0,0,0
12637,1,6,4192.2,3,1,0,0,0,2
12639,146,1,366.1,0,0,1,1,1,0
12641,23,1,145.9,1,0,2,1,1,0
12642,15,1,330.45,1,0,2,1,0,0
12643,36,6,3041.64,3,1,0,0,0,5
12644,37,1,477.91,1,0,2,0,0,0
12645,17,3,1220.8600000000001,3,1,2,0,0,4
12647,34,9,2472.71,3,1,0,0,0,5
12648,62,1,300.05,1,0,2,1,1,0
12649,15,3,569.51,2,1,2,0,0,4
12651,242,1,114.0,0,0,1,1,1,3
12652,239,1,793.98,1,0,1,1,1,3
12653,56,2,2209.85,2,1,2,0,0,6
12654,105,3,301.75,1,0,2,1,0,4
12656,24,3,2514.67,3,1,0,0,0,4
12662,15,7,2437.66,3,1,0,0,0,5
12664,51,3,1757.48,2,1,0,0,0,4
12665,232,1,45.0,0,0,1,1,1,3
12668,167,3,2438.4700000000003,2,1,2,1,1,4
12669,58,3,2564.0299999999997,2,1,0,0,0,4
12670,6,3,1490.47,3,1,0,0,0,4
12672,237,1,225.89999999999998,0,0,1,1,1,3
12673,234,1,220.9,0,0,1,1,1,3
12674,78,2,904.8,2,0,2,0,0,6
12676,31,4,838.0500000000001,2,1,2,0,0,7
12678,8,6,7474.26,3,1,0,0,0,2
12679,113,2,798.38,1,0,2,0,1,6
12680,21,1,275.78,1,0,2,1,0,0
12681,59,15,8948.58,3,1,0,0,0,5
12682,8,20,7373.92,3,1,0,0,0,2
12683,0,12,5956.19,3,1,0,0,0,2
12684,78,4,1271.48,2,1,0,0,0,7
12685,0,2,1462.42,2,1,2,0,0,6
12686,279,1,71.14,0,0,1,1,1,3
12688,21,1,4873.8099999999995,2,1,2,0,1,0
12689,35,1,475.03,1,0,2,0,0,0
12690,113,1,335.01,0,0,2,1,1,0
12691,53,3,484.3,2,1,2,0,0,4
12693,35,4,711.91,2,1,2,0,0,7
12694,91,1,385.5,1,0,2,1,1,0
12695,15,2,333.90000000000003,2,0,2,0,0,6
12697,39,2,573.91,2,0,2,0,0,6
12700,64,2,1951.05,2,1,2,0,0,6
12701,150,1,301.08,0,0,1,1,1,0
12704,13,3,900.92,3,1,2,0,0,4
12705,66,4,3928.52,2,1,0,0,0,7
12707,199,1,603.42,0,0,1,1,1,3
12708,9,7,1833.77,3,1,0,0,0,5
12709,4,11,6930.79,3,1,0,0,0,2
12710,4,3,1023.02,3,1,2,0,0,4
12712,14,11,3499.08,3,1,0,0,0,2
12714,14,4,3065.7,3,1,0,0,0,7
12715,14,1,263.36,1,0,2,1,1,0
12716,41,1,623.9,1,0,2,0,0,0
12717,59,2,830.98,2,1,2,0,0,6
12720,2,17,3275.84,3,1,0,0,0,2
12721,91,4,1500.91,2,1,0,0,0,7
12722,22,3,929.65,2,1,2,0,0,4
12724,81,2,244.36,1,0,2,1,1,6
12725,279,1,371.8,0,0,1,1,1,3
12726,92,5,1359.32,2,1,0,0,0,1
12727,3,6,2869.7,3,1,0,0,0,5
12728,165,3,527.31,1,0,1,1,1,4
12729,21,1,417.01,1,0,2,0,0,0
12731,52,8,11180.25,3,1,0,0,0,5
12732,87,1,218.26000000000002,1,0,2,1,1,0
12733,142,1,383.95,0,0,1,1,1,0
12734,260,1,110.39999999999999,0,0,1,1,1,3
12735,223,2,689.5699999999999,1,0,1,1,1,6
12736,240,1,144.0,0,0,1,1,1,3
12738,280,1,137.35,0,0,1,1,1,3
12739,7,1,975.54,2,1,2,0,0,0
12743,42,2,540.13,2,0,2,0,0,6
12744,52,5,14211.970000000001,3,1,0,0,0,5
12747,17,8,2769.4,3,1,0,0,0,5
12748,1,131,13662.76,3,1,0,0,0,2
12749,38,3,2755.23,3,1,0,0,0,4
12750,36,1,275.88,1,0,2,1,0,0
12753,43,5,16620.91,3,1,0,0,0,5
12754,143,3,3010.74,2,1,0,1,1,4
12755,188,2,3811.95,1,0,1,1,1,6
12757,50,7,5281.08,3,1,0,0,0,5
12758,24,2,2791.59,2,1,2,0,0,6
12759,79,2,1007.52,2,0,2,0,1,6
12763,46,2,494.08,2,0,2,0,0,6
12764,224,1,1693.88,1,0,1,1,1,3
12766,57,5,4532.1900000000005,3,1,0,0,0,5
12769,146,1,1143.6,1,0,2,1,1,0
12770,118,1,1351.45,1,0,2,1,1,0
12775,97,4,1074.68,2,1,2,0,0,7
12778,91,4,432.06,2,1,2,0,0,7
12779,97,7,2999.41,3,1,0,0,0,1
12781,192,1,549.26,0,0,1,1,1,3
12782,57,4,1714.67,2,1,0,0,0,7
12785,272,1,255.95,0,0,1,1,1,3
12787,100,1,143.1,0,0,2,1,1,0
12790,100,1,294.92,0,0,2,1,1,0
12791,281,1,177.60000000000002,0,0,1,1,1,3
12792,164,1,344.53999999999996,0,0,1,1,1,3
12793,242,2,461.48,1,0,1,1,1,6
12794,6,1,317.0,1,0,2,1,1,0
12797,273,1,226.03,0,0,1,1,1,3
12798,78,1,1607.04,1,0,2,0,1,0
12802,94,1,397.58,1,0,2,1,1,0
12808,92,2,253.35,1,0,2,1,1,6
12809,85,1,405.31,1,0,2,1,1,0
12811,169,2,458.85,1,0,1,1,1,6
12814,9,1,85.92,1,0,2,1,1,0
12815,55,2,863.46,2,1,2,0,0,6
12816,3,2,452.20000000000005,2,1,2,0,0,6
12817,189,1,126.03999999999999,0,0,1,1,1,3
12818,169,1,1182.0800000000002,1,0,1,1,1,0
12820,234,1,170.46,0,0,1,1,1,3
12821,122,1,92.72,0,0,1,1,1,0
12823,35,4,1224.0,2,1,0,0,0,7
12826,86,4,818.62,2,1,2,0,0,7
12828,7,3,415.51,2,1,2,0,0,4
12829,244,2,293.0,0,0,1,1,1,6
12830,42,4,5204.0,3,1,0,0,0,7
12831,170,1,215.05,0,0,1,1,1,3
12832,6,1,267.8,1,0,2,1,1,0
12833,53,1,417.38,1,0,2,0,0,0
12834,190,1,312.38,0,0,1,1,1,3
12836,45,3,2112.53,3,1,0,0,0,4
12837,81,1,134.1,0,0,2,1,1,0
12838,281,1,390.79,0,0,1,1,1,3
12839,0,9,3097.39,3,1,0,0,0,2
12840,51,4,2726.77,2,1,0,0,0,7
12841,14,17,2829.91,3,1,0,0,0,2
12842,216,1,310.73,0,0,1,1,1,3
12843,67,7,1692.31,3,1,0,0,0,1
12844,38,1,174.88,1,0,2,1,1,0
12845,175,4,354.09,1,0,1,1,1,7
12849,176,1,668.8499999999999,0,0,1,1,1,3
12851,4,1,131.81,1,0,2,1,1,0
12852,202,1,311.55,0,0,1,1,1,3
12853,42,6,1957.1000000000001,3,1,0,0,0,5
12854,149,2,810.37,1,0,2,1,1,6
12855,280,1,38.1,0,0,1,1,1,3
12857,118,2,1106.4,1,0,2,0,1,6
12864,46,1,147.12,1,0,2,1,1,0
12865,31,1,981.38,2,0,2,0,0,0
12866,191,1,499.12,0,0,1,1,1,3
12867,4,6,3015.96,3,1,0,0,0,5
12868,93,6,1607.0600000000002,2,1,0,0,0,1
12871,115,1,132.0,0,0,1,1,1,0
12872,234,2,599.97,1,0,1,1,1,6
12873,190,1,374.0,0,0,1,1,1,3
12875,51,2,343.2300000000001,1,0,2,0,0,6
12876,104,1,666.43,1,0,2,1,1,0
12877,32,9,1059.23,3,1,0,0,0,5
12878,144,2,854.99,1,0,2,1,1,6
12881,183,1,298.0,0,0,1,1,1,3
12885,31,1,645.35,1,0,2,0,0,0
12886,127,1,775.0,1,0,2,1,1,0
12888,122,2,354.12,1,0,2,1,1,6
12891,93,3,331.0,1,0,2,1,0,4
12897,112,2,216.5,1,0,2,1,1,6
12901,16,19,11639.470000000001,3,1,0,0,0,2
12902,172,1,138.68,0,0,1,1,1,3
12904,80,1,244.69,1,0,2,1,1,0
12908,84,2,750.0,1,0,2,0,1,6
12909,109,3,1528.37,2,1,2,0,0,4
12910,42,4,1486.9,2,1,0,0,0,7
12913,190,3,866.39,1,0,1,1,1,4
12915,56,2,363.65,1,0,2,0,0,6
12916,46,4,2944.95,3,1,0,0,0,7
12917,36,1,594.0,1,0,2,0,0,0
12919,24,3,441.65,2,1,2,0,0,4
12921,6,24,10083.47,3,1,0,0,0,2
12922,69,1,405.38,1,0,2,1,1,0
12924,106,3,655.27,1,0,2,0,0,4
12928,55,3,1136.14,2,1,2,0,0,4
12929,219,1,117.85,0,0,1,1,1,3
12930,79,1,221.56,1,0,2,1,1,0
12931,9,11,32530.7,3,1,0,0,0,2
12933,79,2,357.49,1,0,2,1,1,6
12935,17,4,1535.34,3,1,0,0,0,7
12937,105,2,428.23,1,0,2,1,1,6
12939,46,4,7990.08,3,1,0,0,0,7
12942,39,3,675.6,2,1,2,0,0,4
12944,262,1,286.95,0,0,1,1,1,3
12945,196,1,462.95,0,0,1,1,1,3
12947,51,6,1603.99,2,1,0,0,0,5
12948,13,4,1423.96,3,1,0,0,0,7
12949,22,7,3449.42,3,1,0,0,0,5
12951,81,5,751.78,2,1,2,0,0,1
12955,0,6,1843.36,3,1,0,0,0,5
12956,214,1,108.07,0,0,1,1,1,3
12957,94,4,1715.29,2,1,0,0,0,7
12962,21,1,170.54000000000002,1,0,2,1,1,0
12963,273,1,365.8,0,0,1,1,1,3
12967,266,2,1660.9,1,0,1,1,1,6
12968,20,1,135.95,1,0,2,1,1,0
12970,230,2,23.8,0,0,1,1,1,6
12971,0,64,8165.320000000001,3,1,0,0,0,2
12974,105,1,144.8,0,0,2,1,1,0
12976,119,1,738.6,1,0,2,1,1,0
12977,64,1,39.239999999999995,0,0,2,1,1,0
12980,65,9,7374.900000000001,3,1,0,0,0,5
12981,41,1,187.18,1,0,2,1,1,0
12982,150,1,390.54,0,0,1,1,1,0
12987,105,1,304.3,0,0,2,1,1,0
12988,200,1,505.82,0,0,1,1,1,3
12989,65,8,4469.14,3,1,0,0,0,5
12990,93,2,263.9,1,0,2,1,1,6
12991,20,1,303.56,1,0,2,1,0,0
12993,28,3,372.4,2,1,2,0,0,4
12994,28,2,645.47,2,1,2,0,0,6
12997,144,2,608.47,1,0,2,1,1,6
12999,104,3,455.88,1,0,2,1,0,4
13000,14,3,534.85,2,1,2,0,0,4
13001,66,11,8582.57,3,1,0,0,0,5
13002,226,1,120.94999999999999,0,0,1,1,1,3
13003,13,3,149.05,2,0,2,1,0,4
13004,22,12,3785.09,3,1,0,0,0,5
13005,81,2,513.7,1,0,2,0,1,6
13008,231,1,229.46999999999997,0,0,1,1,1,3
13011,280,1,50.550000000000004,0,0,1,1,1,3
13012,56,4,1012.3100000000001,2,1,2,0,0,7
13013,0,9,3686.09,3,1,0,0,0,2
13014,21,5,2022.48,3,1,0,0,0,5
13015,105,4,1763.04,2,1,0,0,0,7
13016,31,1,425.25,1,0,2,1,0,0
13018,0,18,5075.71,3,1,0,0,0,2
13021,74,4,1152.47,2,1,0,0,0,7
13023,37,1,291.40000000000003,1,0,2,1,0,0
13026,0,3,604.2,2,1,2,0,0,4
13027,21,6,6912.0,3,1,0,0,0,5
13029,46,2,773.1999999999999,2,1,2,0,0,6
13030,276,1,402.36,0,0,1,1,1,3
13033,265,1,190.55,0,0,1,1,1,3
13034,277,1,165.86,0,0,1,1,1,3
13035,168,1,333.0,0,0,1,1,1,3
13037,46,3,881.07,2,1,2,0,0,4
13038,91,2,591.76,1,0,2,0,1,6
13043,181,1,516.42,0,0,1,1,1,3
13044,199,1,560.47,0,0,1,1,1,3
13045,7,1,305.28000000000003,1,0,2,1,1,0
13046,174,1,197.72,0,0,1,1,1,3
13047,35,8,2682.01,3,1,0,0,0,5
13048,21,3,1358.55,2,1,2,0,0,4
13049,226,1,153.78,0,0,1,1,1,3
13050,14,13,4509.74,3,1,0,0,0,2
13052,120,1,348.15000000000003,0,0,2,1,1,0
13055,121,1,344.86,0,0,2,1,1,0
13058,59,1,47.550000000000004,0,0,2,1,1,0
13059,157,1,183.4,0,0,1,1,1,3
13060,161,1,307.53,0,0,1,1,1,3
13062,99,1,346.98,0,0,2,1,1,0
13064,60,2,659.25,1,0,2,0,0,6
13065,281,1,205.86,0,0,1,1,1,3
13068,227,1,165.0,0,0,1,1,1,3
13069,7,20,3870.02,3,1,0,0,0,2
13070,100,1,228.8,0,0,2,1,1,0
13072,174,1,177.15,0,0,1,1,1,3
13075,37,1,919.61,2,0,2,0,0,0
13077,198,3,576.19,1,0,1,1,1,4
13078,14,15,6917.150000000001,3,1,0,0,0,2
13079,48,1,23.8,1,0,2,1,1,0
13080,87,1,58.08,0,0,2,1,1,0
13081,51,8,18870.12,3,1,0,0,0,5
13082,34,9,3613.63,3,1,0,0,0,5
13085,65,2,416.08000000000004,1,0,2,0,0,6
13089,7,71,43260.74,3,1,0,0,0,2
13090,44,9,4912.02,3,1,0,0,0,5
13092,119,4,439.75,1,0,2,0,0,7
13093,183,8,7832.47,2,1,0,0,0,1
13094,37,10,1545.72,3,1,0,0,0,5
13097,30,8,4636.51,3,1,0,0,0,5
13098,2,18,15169.46,3,1,0,0,0,2
13099,7,1,207.35999999999999,1,0,2,1,1,0
13101,142,1,101.19,0,0,1,1,1,0
13102,41,19,4961.7,3,1,0,0,0,5
13104,41,3,376.44,2,1,2,0,0,4
13106,41,1,76.5,1,0,2,1,1,0
13107,83,2,935.22,2,0,2,0,1,6
13108,280,1,350.06,0,0,1,1,1,3
13109,65,1,369.85,1,0,2,1,1,0
13110,45,5,1042.24,3,1,0,0,0,5
13113,21,20,10787.06,3,1,0,0,0,2
13115,92,1,878.55,1,0,2,1,1,0
13116,46,1,501.14,1,0,2,0,0,0
13117,29,7,841.77,3,1,0,0,0,5
13118,116,3,799.7,2,0,2,1,0,4
13120,146,1,30.599999999999998,0,0,1,1,1,0
13121,177,1,283.73,0,0,1,1,1,3
13122,2,2,922.39,2,1,2,0,0,6
13124,160,2,2516.47,2,0,2,1,1,6
13126,161,5,1077.42,2,1,0,0,0,1
13130,2,1,64.0,1,0,2,1,1,0
13131,95,1,324.9,1,0,2,1,1,0
13132,169,1,77.3,0,0,1,1,1,3
13133,181,2,109.8,0,0,1,1,1,6
13134,91,3,885.74,2,1,2,0,0,4
13135,104,1,3096.0,1,0,2,1,1,0
13136,50,3,1226.68,2,1,2,0,0,4
13137,0,5,1888.32,3,1,0,0,0,5
13138,41,3,489.45,2,1,2,0,0,4
13139,17,3,1710.94,3,1,0,0,0,4
13140,16,3,422.47,2,1,2,0,0,4
13141,122,4,1401.03,2,1,0,0,0,7
13144,240,1,110.95,0,0,1,1,1,3
13145,35,2,413.8,2,0,2,0,0,6
13147,7,1,118.80000000000001,1,0,2,1,1,0
13148,41,10,2766.01,3,1,0,0,0,5
13149,14,3,1132.62,3,1,2,0,0,4
13151,203,1,1257.8700000000001,1,0,1,1,1,3
13155,234,2,569.2,1,0,1,1,1,6
13157,49,3,873.1999999999999,2,1,2,0,0,4
13158,2,4,1201.06,3,1,0,0,0,7
13159,14,2,843.09,2,1,2,0,0,6
13161,221,1,112.75,0,0,1,1,1,3
13162,30,4,1688.29,3,1,0,0,0,7
13165,259,1,354.64,0,0,1,1,1,3
13166,191,1,417.2,0,0,1,1,1,3
13167,38,2,417.55,2,0,2,0,0,6
13168,107,3,953.0600000000001,2,1,2,0,0,4
13169,160,1,505.2,1,0,1,1,1,0
13171,207,1,140.35,0,0,1,1,1,3
13173,275,1,165.94,0,0,1,1,1,3
13174,224,2,2034.06,1,0,1,1,1,6
13178,41,8,4391.7300000000005,3,1,0,0,0,5
13183,9,6,2394.98,3,1,0,0,0,5
13184,38,9,1472.1,3,1,0,0,0,5
13185,175,1,71.4,0,0,1,1,1,3
13186,1,2,1301.94,2,1,2,0,0,6
13187,245,1,236.02,0,0,1,1,1,3
13189,23,1,127.0,1,0,2,1,1,0
13192,3,2,911.94,2,1,2,0,0,6
13194,43,1,60.7,1,0,2,1,1,0
13196,170,1,512.13,0,0,1,1,1,3
13198,28,5,3009.18,3,1,0,0,0,5
13199,0,22,4740.16,3,1,0,0,0,2
13200,34,1,319.32,1,0,2,1,0,0
13203,28,2,309.86,1,0,2,0,0,6
13207,58,1,197.52000000000004,0,0,2,1,1,0
13208,63,4,828.8199999999999,2,1,2,0,0,7
13209,36,5,4156.08,3,1,0,0,0,5
13210,1,1,353.48,1,0,2,0,1,0
13211,3,2,784.64,2,1,2,0,0,6
13213,36,4,963.88,2,1,0,0,0,7
13216,175,1,333.74,0,0,1,1,1,3
13217,30,3,533.98,2,1,2,0,0,4
13218,35,1,62.63999999999999,1,0,2,1,1,0
13220,93,3,726.49,2,1,2,0,0,4
13221,148,2,847.41,1,0,2,1,1,6
13223,108,2,163.20000000000002,0,0,2,1,1,6
13224,59,1,1212.26,1,0,2,0,1,0
13225,51,5,4299.56,3,1,0,0,0,5
13226,181,1,108.21000000000001,0,0,1,1,1,3
13227,109,1,257.7,0,0,2,1,1,0
13229,133,1,160.95,0,0,1,1,1,0
13230,46,12,2195.23,3,1,0,0,0,5
13232,6,5,1019.05,3,1,0,0,0,5
13233,244,1,304.24,0,0,1,1,1,3
13235,120,1,1031.07,1,0,2,1,1,0
13236,14,1,439.23,2,0,2,0,0,0
13238,71,2,318.85,1,0,2,1,1,6
13239,169,1,329.56,0,0,1,1,1,3
13240,4,4,663.65,2,1,2,0,0,7
13242,20,3,270.40000000000003,2,1,2,0,0,4
13243,111,1,585.12,1,0,2,1,1,0
13244,0,1,121.74000000000001,1,0,2,1,1,0
13246,84,5,1838.51,3,1,0,0,0,1
13248,32,2,465.68,2,0,2,0,0,6
13249,0,3,711.41,2,1,2,0,0,4
13253,64,2,1030.4,2,1,2,0,0,6
13255,281,1,225.7,0,0,1,1,1,3
13258,113,1,198.87,0,0,1,1,1,0
13261,176,2,944.1,1,0,1,1,1,6
13262,171,1,200.29,0,0,1,1,1,3
13263,16,23,4854.79,3,1,0,0,0,2
13265,91,3,1450.66,2,1,2,0,0,4
13266,20,8,2535.58,3,1,0,0,0,5
13267,0,15,3119.34,3,1,0,0,0,2
13268,77,6,2117.81,3,1,0,0,0,1
13269,17,8,2978.5,3,1,0,0,0,5
13270,274,1,590.0,0,0,1,1,1,3
13273,21,1,138.98,1,0,2,1,1,0
13276,7,1,137.38,1,0,2,1,1,0
13277,24,2,125.9,1,0,2,1,1,6
13280,30,3,798.46,2,1,2,0,0,4
13282,70,2,773.1,2,0,2,0,0,6
13283,93,1,25.5,0,0,1,1,1,0
13284,238,1,201.19,0,0,1,1,1,3
13285,69,3,1970.1,2,1,0,0,0,4
13291,63,1,361.11,1,0,2,1,1,0
13292,192,1,249.57,0,0,1,1,1,3
13294,97,2,873.74,2,0,2,0,1,6
13295,267,1,201.20000000000002,0,0,1,1,1,3
13296,45,1,87.4,1,0,2,1,1,0
13299,176,1,142.5,0,0,1,1,1,3
13300,77,1,371.89,1,0,2,1,1,0
13301,11,4,618.09,2,1,2,0,0,7
13302,63,1,63.75,0,0,2,1,1,0
13304,259,1,300.42,0,0,1,1,1,3
13305,0,8,1471.25,3,1,0,0,0,2
13307,28,1,15.0,1,0,2,1,1,0
13308,111,1,814.95,1,0,2,1,1,0
